MisconceptionName,LLM_Response
Believes each vertical line on a box plot represents 1 piece of data,"Question Text: The box plot below represents the scores of 10 students on a math test.

[Insert a box plot with a range of scores, e.g. 40-80, with whiskers and outliers]

How many students scored exactly 60 on the test?

Correct Answer Text: We cannot tell from the box plot.

Wrong Answer Text: 1 student scored exactly 60 on the test."
"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator","Question Text: Convert the improper fraction \( \frac{27}{4} \) to a mixed number.
Correct Answer Text: \( 6\frac{3}{4} \)
Wrong Answer Text: \( 2\frac{7}{4} \)"
"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator","Question Text: Convert the improper fraction \( \frac{27}{4} \) to a mixed number.
Correct Answer Text: \( 6\frac{3}{4} \)
Wrong Answer Text: \( 2\frac{7}{4} \)"
Believes expanding a squared expression means writing it as a set of double brackets,"Question Text: Expand the expression \( (x+3)^{2} \).
Correct Answer Text: \( x^{2}+6x+9 \)
Wrong Answer Text: \( (x+3)(x+3) \)"
Believes expanding a squared expression means writing it as a set of double brackets,"Question Text: Expand the expression \( (x+3)^{2} \).
Correct Answer Text: \( x^{2}+6x+9 \)
Wrong Answer Text: \( (x+3)(x+3) \)"
Believes a line of reflection must be touching the original shape,"Question Text: A triangle is reflected over a line to create its image. Does the line of reflection have to touch the triangle for it to be a valid reflection?

Correct Answer Text: No, the line of reflection does not have to touch the triangle.

Wrong Answer Text: Yes, the line of reflection must touch the triangle."
Believes a line of reflection must be touching the original shape,"Question Text: A triangle is reflected over a line to create its image. Does the line of reflection have to touch the triangle for it to be a valid reflection?

Correct Answer Text: No, the line of reflection does not have to touch the triangle.

Wrong Answer Text: Yes, the line of reflection must touch the triangle."
"When adding fractions with identical numerators, leaves the numerator and adds the denominators","Question Text: Sarah has \( \frac{3}{4} \) of a pizza, and her friend gives her \( \frac{3}{6} \) of another pizza. What fraction of pizza does Sarah have now?

Correct Answer Text: \( \frac{3}{4}+\frac{3}{6}=\frac{9}{12}+\frac{6}{12}=\frac{15}{12}=\frac{5}{4} \)

Wrong Answer Text: \( \frac{3}{4}+\frac{3}{6}=\frac{3}{10} \)"
"When adding fractions with identical numerators, leaves the numerator and adds the denominators","Question Text: Sarah has \( \frac{3}{4} \) of a pizza, and her friend gives her \( \frac{3}{6} \) of another pizza. What fraction of pizza does Sarah have now?

Correct Answer Text: \( \frac{3}{4}+\frac{3}{6}=\frac{9}{12}+\frac{6}{12}=\frac{15}{12}=\frac{5}{4} \)

Wrong Answer Text: \( \frac{3}{4}+\frac{3}{6}=\frac{3}{10} \)"
Does not recognise an example of the alternate segment theorem,"Question Text: In the diagram, line AB is a tangent to the circle and BC is a chord. What can be said about the angles marked x and y?

Correct Answer Text: x = y

Wrong Answer Text: x ≠ y"
Does not recognise an example of the alternate segment theorem,"Question Text: In the diagram, line AB is a tangent to the circle and BC is a chord. What can be said about the angles marked x and y?

Correct Answer Text: x = y

Wrong Answer Text: x ≠ y"
Thinks x = 0 is the x axis,"Question Text: What is the equation of the x-axis on a coordinate plane?
Correct Answer Text: y = 0
Wrong Answer Text: x = 0"
Thinks x = 0 is the x axis,"Question Text: What is the equation of the x-axis on a coordinate plane?
Correct Answer Text: y = 0
Wrong Answer Text: x = 0"
Does not recognise parallel lines angle rules,"Question Text: Two lines, A and B, are parallel to each other. A transversal line intersects both A and B, creating angles 1 and 2, where angle 1 is the corresponding angle to angle 2. If angle 1 is 60 degrees, what is the measure of angle 2?

Correct Answer Text: 60 degrees

Wrong Answer Text: Cannot be determined without more information"
Does not recognise parallel lines angle rules,"Question Text: Two lines, A and B, are parallel to each other. A transversal line intersects both A and B, creating angles 1 and 2, where angle 1 is the corresponding angle to angle 2. If angle 1 is 60 degrees, what is the measure of angle 2?

Correct Answer Text: 60 degrees

Wrong Answer Text: Cannot be determined without more information"
Believes the constant gives the y-intercept even when a line is not written in the form y = mx + c,"Question Text: What is the y-intercept of the line \( 2x + 3y = 6 \) ?
Correct Answer Text: \( 2 \)
Wrong Answer Text: \( 6 \)"
Believes the constant gives the y-intercept even when a line is not written in the form y = mx + c,"Question Text: What is the y-intercept of the line \( 2x + 3y = 6 \) ?
Correct Answer Text: \( 2 \)
Wrong Answer Text: \( 6 \)"
Finds unit price but doesn't multiply up for number in question,"Question Text: A book costs \( £8 \) for \( 4 \) copies. How much will \( 6 \) copies cost?
Correct Answer Text: \( £12 \)
Wrong Answer Text: \( £8 \)"
Finds unit price but doesn't multiply up for number in question,"Question Text: A book costs \( £8 \) for \( 4 \) copies. How much will \( 6 \) copies cost?
Correct Answer Text: \( £12 \)
Wrong Answer Text: \( £8 \)"
Thinks 1 squared is 2,"Question Text: What is the value of \( 1^{2} \) ?
Correct Answer Text: 1
Wrong Answer Text: 2"
Thinks 1 squared is 2,"Question Text: What is the value of \( 1^{2} \) ?
Correct Answer Text: 1
Wrong Answer Text: 2"
"Has increased by the value of the first value, rather than the difference","Question Text: A bakery sold 15 cakes on Monday and 24 cakes on Tuesday. How many more cakes did the bakery sell on Tuesday compared to Monday?
Correct Answer Text: 9
Wrong Answer Text: 24"
"Has increased by the value of the first value, rather than the difference","Question Text: A bakery sold 15 cakes on Monday and 24 cakes on Tuesday. How many more cakes did the bakery sell on Tuesday compared to Monday?
Correct Answer Text: 9
Wrong Answer Text: 24"
Has taken the percentage from the original ,"Question Text: A shirt is on sale for 20% off. After the first discount, the shirt is £40. Later, an additional 10% is taken off the sale price. What is the final price of the shirt?
Correct Answer Text: £36
Wrong Answer Text: £32"
Has taken the percentage from the original ,"Question Text: A shirt is on sale for 20% off. After the first discount, the shirt is £40. Later, an additional 10% is taken off the sale price. What is the final price of the shirt?
Correct Answer Text: £36
Wrong Answer Text: £32"
"Thinks the movement of the top number in a column vector is vertical, and the bottom number is horizontal rather than the other way round","Question Text: A translation vector is given as \( \begin{pmatrix} 3 \\ 5 \end{pmatrix} \). Describe the translation this vector represents.

Correct Answer Text: A translation of 3 units horizontally and 5 units vertically.

Wrong Answer Text: A translation of 3 units vertically and 5 units horizontally."
"Thinks the movement of the top number in a column vector is vertical, and the bottom number is horizontal rather than the other way round","Question Text: A translation vector is given as \( \begin{pmatrix} 3 \\ 5 \end{pmatrix} \). Describe the translation this vector represents.

Correct Answer Text: A translation of 3 units horizontally and 5 units vertically.

Wrong Answer Text: A translation of 3 units vertically and 5 units horizontally."
Does not know that sample size affects reliability,"Question Text: 
Emily and Jack conducted two separate surveys to determine the favorite flavor of ice cream among students at their school. Emily surveyed 10 students, and 8 of them preferred chocolate. Jack surveyed 100 students, and 80 of them preferred chocolate. Whose results are more reliable?

Correct Answer Text: Jack's results are more reliable

Wrong Answer Text: Both results are equally reliable"
Does not know that sample size affects reliability,"Question Text: 
Emily and Jack conducted two separate surveys to determine the favorite flavor of ice cream among students at their school. Emily surveyed 10 students, and 8 of them preferred chocolate. Jack surveyed 100 students, and 80 of them preferred chocolate. Whose results are more reliable?

Correct Answer Text: Jack's results are more reliable

Wrong Answer Text: Both results are equally reliable"
Does not find a common denominator when adding/subtracting fractions,"Question Text: Sarah has \( \frac{1}{4} \) of a pizza and her friend has \( \frac{1}{6} \) of a pizza. What fraction of a pizza do they have in total?

Correct Answer Text: \( \frac{5}{12} \)

Wrong Answer Text: \( \frac{1}{4} + \frac{1}{6} = \frac{2}{10} \)"
Does not find a common denominator when adding/subtracting fractions,"Question Text: Sarah has \( \frac{1}{4} \) of a pizza and her friend has \( \frac{1}{6} \) of a pizza. What fraction of a pizza do they have in total?

Correct Answer Text: \( \frac{5}{12} \)

Wrong Answer Text: \( \frac{1}{4} + \frac{1}{6} = \frac{2}{10} \)"
"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted","Question Text: Simplify \( 3 \sqrt{5}+2 \sqrt{5} \).
Correct Answer Text: \( 5 \sqrt{5} \)
Wrong Answer Text: \( 5 \sqrt{10} \)"
"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted","Question Text: Simplify \( 3 \sqrt{5}+2 \sqrt{5} \).
Correct Answer Text: \( 5 \sqrt{5} \)
Wrong Answer Text: \( 5 \sqrt{10} \)"
Mixes up squaring with dividing by 2,"Question Text: What is the value of \( x \) in the equation \( x^{2}=16 \) ?

Correct Answer Text: \( 4 \) or \( -4 \)

Wrong Answer Text: \( 8 \)"
Mixes up squaring with dividing by 2,"Question Text: What is the value of \( x \) in the equation \( x^{2}=16 \) ?

Correct Answer Text: \( 4 \) or \( -4 \)

Wrong Answer Text: \( 8 \)"
Cannot identify the correct side lengths to use when asked to find the area of a face,"Question Text: A rectangular prism has a length of 8 cm, a width of 5 cm, and a height of 3 cm. What is the area of the face that has a width of 5 cm and a height of 3 cm?

Correct Answer Text: 5 cm x 3 cm = 15 square cm

Wrong Answer Text: 8 cm x 5 cm = 40 square cm"
Cannot identify the correct side lengths to use when asked to find the area of a face,"Question Text: A rectangular prism has a length of 8 cm, a width of 5 cm, and a height of 3 cm. What is the area of the face that has a width of 5 cm and a height of 3 cm?

Correct Answer Text: 5 cm x 3 cm = 15 square cm

Wrong Answer Text: 8 cm x 5 cm = 40 square cm"
Only multiplies the numerical terms when expanding a bracket,"Question Text: Expand the expression \( 2(x+5) \).
Correct Answer Text: \( 2x+10 \)
Wrong Answer Text: \( 2x+5 \)"
Only multiplies the numerical terms when expanding a bracket,"Question Text: Expand the expression \( 2(x+5) \).
Correct Answer Text: \( 2x+10 \)
Wrong Answer Text: \( 2x+5 \)"
Thinks adding the same value to each side makes shapes similar,"Question Text: Are the two triangles below similar?
Triangle A: 
Base length: 5 cm 
Height: 6 cm
Triangle B: 
Base length: 7 cm 
Height: 8 cm

Correct Answer Text: No

Wrong Answer Text: Yes, because 2 cm has been added to the base and height of Triangle A to get Triangle B."
Thinks adding the same value to each side makes shapes similar,"Question Text: Are the two triangles below similar?
Triangle A: 
Base length: 5 cm 
Height: 6 cm
Triangle B: 
Base length: 7 cm 
Height: 8 cm

Correct Answer Text: No

Wrong Answer Text: Yes, because 2 cm has been added to the base and height of Triangle A to get Triangle B."
Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram,"Question Text: 
A bag contains 5 red balls and 3 blue balls. Two balls are picked at random without replacement. What is the probability that both balls are red?

Correct Answer Text: 
The probability of the first ball being red is 5/8. The probability of the second ball being red is 4/7. Multiply these probabilities together to get the final answer.

Wrong Answer Text: 
The probability of the first ball being red is 5/8. The probability of the second ball being red is 5/7. Multiply these probabilities together to get the final answer."
Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram,"Question Text: 
A bag contains 5 red balls and 3 blue balls. Two balls are picked at random without replacement. What is the probability that both balls are red?

Correct Answer Text: 
The probability of the first ball being red is 5/8. The probability of the second ball being red is 4/7. Multiply these probabilities together to get the final answer.

Wrong Answer Text: 
The probability of the first ball being red is 5/8. The probability of the second ball being red is 5/7. Multiply these probabilities together to get the final answer."
Finds 10% of an amount rather than the percentage being asked,"Question Text: A shirt is on sale for 25% off its original price of $80. How much will you pay for the shirt?

Correct Answer Text: $60

Wrong Answer Text: $72"
Finds 10% of an amount rather than the percentage being asked,"Question Text: A shirt is on sale for 25% off its original price of $80. How much will you pay for the shirt?

Correct Answer Text: $60

Wrong Answer Text: $72"
Does not recognise metres as a unit of length,"Question Text: A bookshelf is \( 2 \) metres long. If a pencil is \( 15 \) cm long, how many pencils can fit along the bookshelf?
Correct Answer Text: \( 200 \mathrm{~cm} / 15 \mathrm{~cm} = 13.33 \) (round down to 13 pencils)
Wrong Answer Text: You can't compare metres and centimetres, they measure different things."
Does not recognise metres as a unit of length,"Question Text: A bookshelf is \( 2 \) metres long. If a pencil is \( 15 \) cm long, how many pencils can fit along the bookshelf?
Correct Answer Text: \( 200 \mathrm{~cm} / 15 \mathrm{~cm} = 13.33 \) (round down to 13 pencils)
Wrong Answer Text: You can't compare metres and centimetres, they measure different things."
Thinks the fraction bar means multiply rather than divide,"Question Text: What is the value of \( \frac{12}{4} \) ?
Correct Answer Text: \( 3 \)
Wrong Answer Text: \( 48 \)"
Thinks the fraction bar means multiply rather than divide,"Question Text: What is the value of \( \frac{12}{4} \) ?
Correct Answer Text: \( 3 \)
Wrong Answer Text: \( 48 \)"
Believes every direct or inverse proportion question uses the formula p=kq,"Question Text: The cost of renting a car is £40 plus 25p per mile. If a car is driven for 120 miles, how much will it cost in total?

Correct Answer Text: £40 + (120 x 0.25) = £70

Wrong Answer Text: Use the formula p = kq, where p is the cost, q is the miles driven, and k is the constant of proportionality. So, p = k x 120."
Believes every direct or inverse proportion question uses the formula p=kq,"Question Text: The cost of renting a car is £40 plus 25p per mile. If a car is driven for 120 miles, how much will it cost in total?

Correct Answer Text: £40 + (120 x 0.25) = £70

Wrong Answer Text: Use the formula p = kq, where p is the cost, q is the miles driven, and k is the constant of proportionality. So, p = k x 120."
Confuses x and y axes,"Question Text: A line graph shows the relationship between the number of hours a person studies and their test score. The x-axis is labeled ""Test Score"" and the y-axis is labeled ""Hours Studied"". If a point on the graph is at (80, 5), what does this represent?

Correct Answer Text: The person studied for 5 hours and scored 80 on the test.

Wrong Answer Text: The person scored 5 on the test and studied for 80 hours."
Confuses x and y axes,"Question Text: A line graph shows the relationship between the number of hours a person studies and their test score. The x-axis is labeled ""Test Score"" and the y-axis is labeled ""Hours Studied"". If a point on the graph is at (80, 5), what does this represent?

Correct Answer Text: The person studied for 5 hours and scored 80 on the test.

Wrong Answer Text: The person scored 5 on the test and studied for 80 hours."
Believes the gradient of a speed-time graph is the distance,"Question Text: A car accelerates from rest to a speed of 30 m/s in 6 seconds. What does the gradient of the speed-time graph for this motion represent?

Correct Answer Text: The acceleration of the car

Wrong Answer Text: The distance traveled by the car"
Believes the gradient of a speed-time graph is the distance,"Question Text: A car accelerates from rest to a speed of 30 m/s in 6 seconds. What does the gradient of the speed-time graph for this motion represent?

Correct Answer Text: The acceleration of the car

Wrong Answer Text: The distance traveled by the car"
Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval,"Question Text: The exam scores of 20 students are grouped into intervals as follows:
Score Interval | Frequency
0-9            | 3
10-19          | 5
20-29          | 4
30-39          | 6
40-49          | 2
What is the cumulative frequency for a score of 25?

Correct Answer Text: 12

Wrong Answer Text: 4"
Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval,"Question Text: The exam scores of 20 students are grouped into intervals as follows:
Score Interval | Frequency
0-9            | 3
10-19          | 5
20-29          | 4
30-39          | 6
40-49          | 2
What is the cumulative frequency for a score of 25?

Correct Answer Text: 12

Wrong Answer Text: 4"
Reads the wrong scale on the protractor when measuring acute angles,"Question Text: What is the size of the angle in the diagram below?



(Correct diagram of a 30-degree angle, but with a protractor showing both 30 and 150-degree marks)


Correct Answer Text: 30 degrees
Wrong Answer Text: 150 degrees"
Reads the wrong scale on the protractor when measuring acute angles,"Question Text: What is the size of the angle in the diagram below?



(Correct diagram of a 30-degree angle, but with a protractor showing both 30 and 150-degree marks)


Correct Answer Text: 30 degrees
Wrong Answer Text: 150 degrees"
Believes we can only take the square root of a perfect square,"Question Text: What is the value of \( \sqrt{6} \) ?
Correct Answer Text: Between 2 and 3
Wrong Answer Text: There is no answer, as 6 is not a perfect square"
Believes we can only take the square root of a perfect square,"Question Text: What is the value of \( \sqrt{6} \) ?
Correct Answer Text: Between 2 and 3
Wrong Answer Text: There is no answer, as 6 is not a perfect square"
Thinks index notation represents repeated addition rather than repeated multiplication,"Question Text: What does \( 2^{3} \) represent?
Correct Answer Text: \( 2 \times 2 \times 2 \)
Wrong Answer Text: \( 2+2+2 \)"
Thinks index notation represents repeated addition rather than repeated multiplication,"Question Text: What does \( 2^{3} \) represent?
Correct Answer Text: \( 2 \times 2 \times 2 \)
Wrong Answer Text: \( 2+2+2 \)"
Believes to find the proportion of a pie chart sector you do frequency/sum of other frequencies rather than frequency/overall total,"Question Text: A pie chart shows the favorite colors of a class of students. The colors are blue, red, green, and yellow. The number of students who chose each color is as follows:
- Blue: 8 students
- Red: 12 students
- Green: 5 students
- Yellow: 10 students
What proportion of the class chose blue as their favorite color?

Correct Answer Text: 8 / 35

Wrong Answer Text: 8 / (12 + 5 + 10)"
Believes to find the proportion of a pie chart sector you do frequency/sum of other frequencies rather than frequency/overall total,"Question Text: A pie chart shows the favorite colors of a class of students. The colors are blue, red, green, and yellow. The number of students who chose each color is as follows:
- Blue: 8 students
- Red: 12 students
- Green: 5 students
- Yellow: 10 students
What proportion of the class chose blue as their favorite color?

Correct Answer Text: 8 / 35

Wrong Answer Text: 8 / (12 + 5 + 10)"
Believes the gradients of perpendicular lines are reciprocals of the same sign,"Question Text: What is the gradient of a line perpendicular to the line with equation \( y = 3x - 2 \) ?

Correct Answer Text: \( -\frac{1}{3} \)

Wrong Answer Text: \( \frac{1}{3} \)"
Believes the gradients of perpendicular lines are reciprocals of the same sign,"Question Text: What is the gradient of a line perpendicular to the line with equation \( y = 3x - 2 \) ?

Correct Answer Text: \( -\frac{1}{3} \)

Wrong Answer Text: \( \frac{1}{3} \)"
Believes the number of sides gives the order of rotational symmetry,"Question Text: What is the order of rotational symmetry of a regular hexagon?
Correct Answer Text: 6
Wrong Answer Text: It has 6 sides, so it must have 3 orders of rotational symmetry"
Believes the number of sides gives the order of rotational symmetry,"Question Text: What is the order of rotational symmetry of a regular hexagon?
Correct Answer Text: 6
Wrong Answer Text: It has 6 sides, so it must have 3 orders of rotational symmetry"
Assumes that opposite angles in a quadrilateral sum to 180 degrees,"Question Text: In the quadrilateral ABCD, what is the sum of the measures of angle A and angle C?
Correct Answer Text: The sum of the measures of angle A and angle C is not necessarily 180 degrees, but the sum of the measures of all four angles is 360 degrees.
Wrong Answer Text: The sum of the measures of angle A and angle C is always 180 degrees."
Assumes that opposite angles in a quadrilateral sum to 180 degrees,"Question Text: In the quadrilateral ABCD, what is the sum of the measures of angle A and angle C?
Correct Answer Text: The sum of the measures of angle A and angle C is not necessarily 180 degrees, but the sum of the measures of all four angles is 360 degrees.
Wrong Answer Text: The sum of the measures of angle A and angle C is always 180 degrees."
Divides when converting to a larger unit,"Question Text: A bookshelf is 240 cm long. How many meters long is it?
Correct Answer Text: 2.4 meters
Wrong Answer Text: 240 ÷ 10 = 24 meters"
Divides when converting to a larger unit,"Question Text: A bookshelf is 240 cm long. How many meters long is it?
Correct Answer Text: 2.4 meters
Wrong Answer Text: 240 ÷ 10 = 24 meters"
"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size","Question Text: 
A wildlife researcher is trying to estimate the population size of a local rabbit species using the capture-recapture method. On the first day, she catches 20 rabbits and marks them. On the second day, she catches 30 rabbits, 5 of which are marked. What is the best estimate of the population size?

Correct Answer Text: 
\( \frac{(20)(30)}{5} = 120 \)

Wrong Answer Text: 
\( 20 + 30 + 5 = 55 \)"
"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size","Question Text: 
A wildlife researcher is trying to estimate the population size of a local rabbit species using the capture-recapture method. On the first day, she catches 20 rabbits and marks them. On the second day, she catches 30 rabbits, 5 of which are marked. What is the best estimate of the population size?

Correct Answer Text: 
\( \frac{(20)(30)}{5} = 120 \)

Wrong Answer Text: 
\( 20 + 30 + 5 = 55 \)"
When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,"Question Text: Solve the simultaneous equations:
\[
2x + 3y = 7
\]
\[
2x - 2y = -3
\]
What is the correct operation to eliminate the x terms?

Correct Answer Text: Subtract the second equation from the first equation.

Wrong Answer Text: Add the two equations together."
When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,"Question Text: Solve the simultaneous equations:
\[
2x + 3y = 7
\]
\[
2x - 2y = -3
\]
What is the correct operation to eliminate the x terms?

Correct Answer Text: Subtract the second equation from the first equation.

Wrong Answer Text: Add the two equations together."
Does not understand where to place inputs/ operations/ outputs when drawing a function machine,"Question Text: Draw a function machine for the rule 'multiply by 3 then add 2'. What will the output be if the input is 4?

Correct Answer Text: 
Input → [ × 3 ] → [ + 2 ] → Output 
4 → [ × 3 ] → 12 → [ + 2 ] → 14

Wrong Answer Text: 
Input → [ + 2 ] → [ × 3 ] → Output 
4 → [ + 2 ] → 6 → [ × 3 ] → 18"
Does not understand where to place inputs/ operations/ outputs when drawing a function machine,"Question Text: Draw a function machine for the rule 'multiply by 3 then add 2'. What will the output be if the input is 4?

Correct Answer Text: 
Input → [ × 3 ] → [ + 2 ] → Output 
4 → [ × 3 ] → 12 → [ + 2 ] → 14

Wrong Answer Text: 
Input → [ + 2 ] → [ × 3 ] → Output 
4 → [ + 2 ] → 6 → [ × 3 ] → 18"
Adds instead of multiplies when calculating total frequency,"Question Text: A bookshelf has 5 shelves, and each shelf can hold 8 boxes of books. If the bookshelf is currently empty, how many boxes of books can be placed on it in total?

Correct Answer Text: 40 boxes

Wrong Answer Text: 13 boxes"
Adds instead of multiplies when calculating total frequency,"Question Text: A bookshelf has 5 shelves, and each shelf can hold 8 boxes of books. If the bookshelf is currently empty, how many boxes of books can be placed on it in total?

Correct Answer Text: 40 boxes

Wrong Answer Text: 13 boxes"
Does not know the meaning of corresponding,"Question Text: Two triangles are shown below. Which pair of angles are corresponding angles?

 Triangle 1: 
 Angle A (top left)
 Angle B (top right)
 Angle C (bottom)

 Triangle 2: 
 Angle D (top left)
 Angle E (top right)
 Angle F (bottom)

Correct Answer Text: Angles A and D
Wrong Answer Text: Angles A and E"
Does not know the meaning of corresponding,"Question Text: Two triangles are shown below. Which pair of angles are corresponding angles?

 Triangle 1: 
 Angle A (top left)
 Angle B (top right)
 Angle C (bottom)

 Triangle 2: 
 Angle D (top left)
 Angle E (top right)
 Angle F (bottom)

Correct Answer Text: Angles A and D
Wrong Answer Text: Angles A and E"
Thinks the subtraction sign means divide,"Question Text: What is the value of \( 18-3 \) ?
Correct Answer Text: \( 15 \)
Wrong Answer Text: \( 6 \)"
Thinks the subtraction sign means divide,"Question Text: What is the value of \( 18-3 \) ?
Correct Answer Text: \( 15 \)
Wrong Answer Text: \( 6 \)"
Fails to use the properties of simple shapes to work out missing lengths,"Question Text: In the rectangle below, what is the length of the missing side?

 Rectangle with three sides: 6cm, 4cm, and one missing side that is parallel to the 6cm side.

Correct Answer Text: 6cm

Wrong Answer Text: 5cm"
Fails to use the properties of simple shapes to work out missing lengths,"Question Text: In the rectangle below, what is the length of the missing side?

 Rectangle with three sides: 6cm, 4cm, and one missing side that is parallel to the 6cm side.

Correct Answer Text: 6cm

Wrong Answer Text: 5cm"
Thinks the first term in a sequence is the term before the sequence begins (0th term),"Question Text: Consider the sequence defined by the rule \( a_n = 2n + 1 \). What is the first term of this sequence?

Correct Answer Text: \( a_1 = 3 \)

Wrong Answer Text: \( a_0 = 1 \)"
Thinks the first term in a sequence is the term before the sequence begins (0th term),"Question Text: Consider the sequence defined by the rule \( a_n = 2n + 1 \). What is the first term of this sequence?

Correct Answer Text: \( a_1 = 3 \)

Wrong Answer Text: \( a_0 = 1 \)"
"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round","Question Text: Simplify \( \sqrt{12}+\sqrt{3} \).
Correct Answer Text: \( 2\sqrt{3}+\sqrt{3}=3\sqrt{3} \)
Wrong Answer Text: \( \sqrt{3}+2\sqrt{3}=\sqrt{32} \)"
"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round","Question Text: Simplify \( \sqrt{12}+\sqrt{3} \).
Correct Answer Text: \( 2\sqrt{3}+\sqrt{3}=3\sqrt{3} \)
Wrong Answer Text: \( \sqrt{3}+2\sqrt{3}=\sqrt{32} \)"
"Thinks 1 square metre = 100,000 cubic centimetres","Question Text: A water tank measures \( 1 \mathrm{~m} \) in length, \( 1 \mathrm{~m} \) in width, and \( 1 \mathrm{~m} \) in height. What is the volume of the tank in cubic centimetres?

Correct Answer Text: \( 1,000,000 \) cubic centimetres

Wrong Answer Text: \( 100,000 \) cubic centimetres"
"Thinks 1 square metre = 100,000 cubic centimetres","Question Text: A water tank measures \( 1 \mathrm{~m} \) in length, \( 1 \mathrm{~m} \) in width, and \( 1 \mathrm{~m} \) in height. What is the volume of the tank in cubic centimetres?

Correct Answer Text: \( 1,000,000 \) cubic centimetres

Wrong Answer Text: \( 100,000 \) cubic centimetres"
Describes position to term rule using term to term rule,"Question Text: What is the position to term rule for the sequence: 2, 5, 8, 11, 14?
Correct Answer Text: The position to term rule is 3n - 1
Wrong Answer Text: The position to term rule is add 3 each time"
Describes position to term rule using term to term rule,"Question Text: What is the position to term rule for the sequence: 2, 5, 8, 11, 14?
Correct Answer Text: The position to term rule is 3n - 1
Wrong Answer Text: The position to term rule is add 3 each time"
When writing a function as a function machine confuses the input and the output.,"Question Text: A function machine takes a number, multiplies it by 3, and then adds 2. If the number that comes out of the machine is 11, what was the number that went in?

Correct Answer Text: 3

Wrong Answer Text: 11"
When writing a function as a function machine confuses the input and the output.,"Question Text: A function machine takes a number, multiplies it by 3, and then adds 2. If the number that comes out of the machine is 11, what was the number that went in?

Correct Answer Text: 3

Wrong Answer Text: 11"
Does not recognise that subtracting a larger number from a smaller number will give a negative answer,"Question Text: What is the result of \( 8-12 \) ?
Correct Answer Text: \( -4 \)
Wrong Answer Text: \( 4 \)"
Does not recognise that subtracting a larger number from a smaller number will give a negative answer,"Question Text: What is the result of \( 8-12 \) ?
Correct Answer Text: \( -4 \)
Wrong Answer Text: \( 4 \)"
Thinks you need to include the total as well as the individual parts when asked to write a ratio,"Question Text: A bookshelf has 5 shelves for fiction books and 3 shelves for non-fiction books. What is the ratio of fiction to non-fiction shelves?
Correct Answer Text: 5:3
Wrong Answer Text: 5:3:8"
Thinks you need to include the total as well as the individual parts when asked to write a ratio,"Question Text: A bookshelf has 5 shelves for fiction books and 3 shelves for non-fiction books. What is the ratio of fiction to non-fiction shelves?
Correct Answer Text: 5:3
Wrong Answer Text: 5:3:8"
Divides by (n-2) rather than n when finding an interior angle,"Question Text: A polygon has 9 sides. What is the sum of the interior angles of the polygon divided by the number of sides to find the measure of one interior angle?
Correct Answer Text: (9-2) x 180 / 9 = 140 degrees
 Wrong Answer Text: (9-2) x 180 / (9-2) = 180 degrees"
Divides by (n-2) rather than n when finding an interior angle,"Question Text: A polygon has 9 sides. What is the sum of the interior angles of the polygon divided by the number of sides to find the measure of one interior angle?
Correct Answer Text: (9-2) x 180 / 9 = 140 degrees
 Wrong Answer Text: (9-2) x 180 / (9-2) = 180 degrees"
"When dividing involving a power of 10, gives an answer 10 times bigger than it should be","Question Text: \( 48 \div 10^{2} \)
Correct Answer Text: 0.48
Wrong Answer Text: 4.8"
"When dividing involving a power of 10, gives an answer 10 times bigger than it should be","Question Text: \( 48 \div 10^{2} \)
Correct Answer Text: 0.48
Wrong Answer Text: 4.8"
Does not think a number can be a multiple of itself,"Question Text: Is 6 a multiple of 6?
Correct Answer Text: Yes
Wrong Answer Text: No, a number cannot be a multiple of itself."
Does not think a number can be a multiple of itself,"Question Text: Is 6 a multiple of 6?
Correct Answer Text: Yes
Wrong Answer Text: No, a number cannot be a multiple of itself."
Believes a proportion of a whole is whole/part not part/whole,"Question Text: A bookshelf has 15 books on it, and 3 of them are about history. What fraction of the books are about history?
Correct Answer Text: 3/15 = 1/5
Wrong Answer Text: 15/3 = 5"
Believes a proportion of a whole is whole/part not part/whole,"Question Text: A bookshelf has 15 books on it, and 3 of them are about history. What fraction of the books are about history?
Correct Answer Text: 3/15 = 1/5
Wrong Answer Text: 15/3 = 5"
Makes the number negative when asked to find the reciprocal,"Question Text: What is the reciprocal of \( -4 \) ?
Correct Answer Text: \( -\frac{1}{4} \)
Wrong Answer Text: \( 4 \)"
