,QuestionId_Answer,ConstructName,SubjectName,QuestionText,CorrectAnswer,IncorrectAnswer,MisconceptionName,Cluster
136,57_D,Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,Right-angled Triangles (SOHCAHTOA),"Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",Tan,None of these,Does not understand how to apply sohcahtoa,63
137,58_A,Represent a linear inequality with a single tail on a numberline,Inequalities on Number Lines,Which of the following diagrams represents \( x>-1 \) ?,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()","![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()",Mixes up greater than and less than symbols,12
138,58_D,Represent a linear inequality with a single tail on a numberline,Inequalities on Number Lines,Which of the following diagrams represents \( x>-1 \) ?,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()","![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()","When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning.",12
139,59_A,Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,\( 130 \% \) of \( 40= \),\( 52 \),\( 12 \),Found the percentage but forgot to add to 100%,101
140,59_C,Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,\( 130 \% \) of \( 40= \),\( 52 \),\( 170 \),Added the values together instead of finding the percentage,101
141,59_D,Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,\( 130 \% \) of \( 40= \),\( 52 \),Impossible as you cannot have a percentage greater than \( 100 \),Does not understand that you can have percentages greater than 100%,101
142,60_B,Simplify fractions that simplify to a unit fraction,Converting Mixed Number and Improper Fractions,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),\( 3 \frac{1}{3} \),\( 1 \frac{1}{3} \),Simplifies integers when simplifying a mixed number,23
143,60_D,Simplify fractions that simplify to a unit fraction,Converting Mixed Number and Improper Fractions,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),\( 3 \frac{1}{3} \),Cannot be simplified,Believes mixed numbers cannot be simplified,23
144,61_D,Read a fraction on a scale where the required number is marked by a dash between two numbers,Ordering Fractions,"What fraction should replace the star? ![A number line marked with 1/4, 2/4, 3/4, 4/4, 5/4. The star is halfway between 2/4 and 3/4.]()",\( \frac{5}{8} \),None of these,Does not realise you can use equivalent fractions to break fractions up into smaller divisions,91
145,62_A,Calculate the mean from a frequency table,Averages and Range from Frequency Table,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",\( 2 \times 4=8 \),\( 2+4=6 \),Believes the fx column for calculating mean is value + frequency,8
146,62_B,Calculate the mean from a frequency table,Averages and Range from Frequency Table,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",\( 2 \times 4=8 \),\( 2-4=(-2) \),Believes the fx column for calculating mean is value - frequency,8
147,62_D,Calculate the mean from a frequency table,Averages and Range from Frequency Table,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",\( 2 \times 4=8 \),\( 2 \div 4=0.5 \),Believes the fx column for calculating mean is value/frequency,8
148,63_B,Subtract integers up to 4 digits using a written method where carrying is needed,Written Subtraction,"What number should replace the star? \begin{tabular}{cccc}
\(\space\) & \( 9 \) & \( 3 \) & \( 5 \) & \( 2 \) \\
\(-\) & \(4\) & \(5\) & \(7\) & \(\bigstar\)\\
\(\space\) & \(4\) & \(7\) & \(7\) & \(3\)\\
\end{tabular}",\( 9 \),\( 1 \),"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",100
149,63_C,Subtract integers up to 4 digits using a written method where carrying is needed,Written Subtraction,"What number should replace the star? \begin{tabular}{cccc}
\(\space\) & \( 9 \) & \( 3 \) & \( 5 \) & \( 2 \) \\
\(-\) & \(4\) & \(5\) & \(7\) & \(\bigstar\)\\
\(\space\) & \(4\) & \(7\) & \(7\) & \(3\)\\
\end{tabular}",\( 9 \),\( 5 \),Confuses the part and the whole in missing number subtraction problems,35
150,63_D,Subtract integers up to 4 digits using a written method where carrying is needed,Written Subtraction,"What number should replace the star? \begin{tabular}{cccc}
\(\space\) & \( 9 \) & \( 3 \) & \( 5 \) & \( 2 \) \\
\(-\) & \(4\) & \(5\) & \(7\) & \(\bigstar\)\\
\(\space\) & \(4\) & \(7\) & \(7\) & \(3\)\\
\end{tabular}",\( 9 \),It is not possible,Does not realise we can borrow from the preceding digit in a subtraction problem,35
151,64_A,"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,"Solve the equation:
\[
0.45=0.3 p
\]",\( p=1.5 \),\( p=\frac{2}{3} \),Believes division is commutative ,27
152,64_C,"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,"Solve the equation:
\[
0.45=0.3 p
\]",\( p=1.5 \),\( p=0.135 \),"When solving an equation, multiplies instead of dividing ",27
153,65_B,Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,Quadratic Equations,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()",\( 25 \),\( -10 \),Mixes up squaring and multiplying by 2 or doubling,113
154,65_C,Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,Quadratic Equations,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()",\( 25 \),\( 16 \),"When using the formula to solve a quadratic equation, believes that a, b and c are always taken from the 1st, 2nd and 3rd terms, respectively, of the quadratic. ",104
155,66_A,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,\( 4.72-3.1 \) What should replace the star?,\( 1.62 \),\( 4.41 \),Hasn't lined up the place value columns when writing out the calculation,35
156,66_B,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,\( 4.72-3.1 \) What should replace the star?,\( 1.62 \),\( 1.71 \),Hasn't lined up the place value columns when writing out the calculation,35
157,66_D,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,\( 4.72-3.1 \) What should replace the star?,\( 1.62 \),\( 7.82 \),Adds instead of subtracts,35
158,67_B,Calculate the square root of a number,"Square Roots, Cube Roots, etc",What is the square root of nine?,\( 3 \),\( 4.5 \),Halves when asked to find the square root,47
159,67_C,Calculate the square root of a number,"Square Roots, Cube Roots, etc",What is the square root of nine?,\( 3 \),\( 81 \),Squares when asked to find the square root,47
160,67_D,Calculate the square root of a number,"Square Roots, Cube Roots, etc",What is the square root of nine?,\( 3 \),\( 18 \),Mixes up squaring and multiplying by 2 or doubling,113
161,68_C,Solve quadratic equations using completing the square in the form (x + q)² + r ,Quadratic Equations,"One of these equations has no real solutions
Which is it?",\( (w-4)^{2}+16=0 \),\( (w-4)^{2}=0 \),Believes 0 has no square root,47
162,69_A,Compare relative frequencies in order to determine which prediction is likely to be more reliable,Experimental Probability and Relative Frequency,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Town B,Town A,Does not know that sample size affects reliability,14
163,69_C,Compare relative frequencies in order to determine which prediction is likely to be more reliable,Experimental Probability and Relative Frequency,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Town B,They are the same,Does not know that sample size affects reliability,14
164,69_D,Compare relative frequencies in order to determine which prediction is likely to be more reliable,Experimental Probability and Relative Frequency,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Town B,Impossible to say,Does not know that sample size affects reliability,14
165,70_A,Calculate percentage of an amount using a calculator where the percent is an integer,Percentages of an Amount,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",\( 529.2 \),\( 750 \),Thinks when finding a percentage you divide by the percentage being asked,101
166,71_B,Interpret continuous data using a line graph,Time Series and Line Graphs,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",\( 25 \),\( 85 \),Adds instead of subtracts when asked to find the difference,89
167,71_C,Interpret continuous data using a line graph,Time Series and Line Graphs,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",\( 25 \),\( 30 \),"When finding the difference between two points on a time series graph, only uses one of the points. ",89
168,71_D,Interpret continuous data using a line graph,Time Series and Line Graphs,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",\( 25 \),\( 55 \),"When finding the difference between two points on a time series graph, only uses one of the points. ",89
169,72_A,Know the equation of the axes,Horizontal and Vertical Lines,What is the equation of the \( y \) axis?,\( x=0 \),\( y=1 \),Thinks y =1 is the y axis,39
170,72_B,Know the equation of the axes,Horizontal and Vertical Lines,What is the equation of the \( y \) axis?,\( x=0 \),\( y=0 \),Confuses the equations of vertical and horizontal lines,107
171,72_C,Know the equation of the axes,Horizontal and Vertical Lines,What is the equation of the \( y \) axis?,\( x=0 \),\( y=x \),Thinks x = y is an axis,39
172,73_A,Round integers to the nearest 1000,"Rounding to the Nearest Whole (10, 100, etc)",What is \( 326 \) rounded to the nearest \( 1000 \) ?,\( 0 \),\( 1000 \),Rounds up instead of down,102
173,73_C,Round integers to the nearest 1000,"Rounding to the Nearest Whole (10, 100, etc)",What is \( 326 \) rounded to the nearest \( 1000 \) ?,\( 0 \),\( 500 \),Rounds to the wrong degree of accuracy (rounds too little),102
174,74_B,Solve quadratic equations using balancing,Quadratic Equations,"One of these equations has no real solutions.
Which is it?",\( t^{2}=-45 \),\( t^{2}-45=-45 \),Believes 0 is not a real solution to an equation,47
175,74_C,Solve quadratic equations using balancing,Quadratic Equations,"One of these equations has no real solutions.
Which is it?",\( t^{2}=-45 \),\( t^{3}=-45 \),Believes a number raised to a power will always give a positive answer,99
176,75_B,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",\( 0.826 \),\( 0.830 \),Stops iteration too early when solving equations,52
177,75_C,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",\( 0.826 \),\( 0.825 \),Stops iteration too early when solving equations,52
178,75_D,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",\( 0.826 \),\( 0.8101 \),Stops iteration too early when solving equations,52
179,76_A,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),never,always,Does not know the properties of a rectangle,63
180,76_B,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),never,sometimes,Does not know the properties of a rectangle,63
181,76_D,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),never,I don't know,Does not know the properties of a rectangle,63
182,77_A,Identify perpendicular lines written in the form y = mx + c,Perpendicular Lines,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",\( y=5-\frac{1}{3} x \),\( y=\frac{1}{3} x+1 \),Believes the gradients of perpendicular lines are reciprocals of the same sign,15
183,77_C,Identify perpendicular lines written in the form y = mx + c,Perpendicular Lines,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",\( y=5-\frac{1}{3} x \),\( y=3 x+7 \),Confuses the meaning of parallel and perpendicular,15
184,78_B,"Given the area of a parallelogram, calculate a missing dimension",Area of Simple Shapes,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()",\( 4 \mathrm{~cm} \),\( 2 \mathrm{~cm} \),When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2,108
185,78_C,"Given the area of a parallelogram, calculate a missing dimension",Area of Simple Shapes,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()",\( 4 \mathrm{~cm} \),\( 8 \mathrm{~cm} \),When finding the area of a parallelogram finds base x perpendicular height but divides the answer by 2 ,108
186,78_D,"Given the area of a parallelogram, calculate a missing dimension",Area of Simple Shapes,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()",\( 4 \mathrm{~cm} \),Not enough information,Does not realise we can find a missing length if we know the base of a parallelogram and its area. ,48
187,79_B,Solve quadratic inequalities from the graph of the quadratic,Solving Quadratic Inequalities,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \leq-2\} \cup\{x \geq 3\} \),\( \{-2 \leq x \leq 3\} \),Believes the solution of a quadratic inequality is always the interval between the roots,12
188,79_C,Solve quadratic inequalities from the graph of the quadratic,Solving Quadratic Inequalities,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \leq-2\} \cup\{x \geq 3\} \),\( \{-2 \geq x \geq 3\} \),Believes any two inequalities can be combined into a double inequality,12
189,79_D,Solve quadratic inequalities from the graph of the quadratic,Solving Quadratic Inequalities,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \leq-2\} \cup\{x \geq 3\} \),\( \{x \geq-2\} \cup\{x \leq 3\} \),Mixes up greater than and less than symbols,12
190,80_A,Fill in regions of a double Venn diagram with numbers from given information,Venn Diagrams,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",C,A,Does not know what a square number is,5
191,80_B,Fill in regions of a double Venn diagram with numbers from given information,Venn Diagrams,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",C,B,Does not know what a square number is,5
192,80_D,Fill in regions of a double Venn diagram with numbers from given information,Venn Diagrams,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",C,D,Mixes up odd and even numbers,5
193,81_A,Order integers with a different number of digits,Place Value,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?","\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)","\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)",Orders integers based on first digits without taking into account place value,57
194,81_C,Order integers with a different number of digits,Place Value,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?","\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)","\( \begin{array}{l}605,321 \\ 3,506,212 \\ 650,312 \\ 3,652\end{array} \)","When ordering integers, orders from the digits at the end of the number instead of the digits at the start",57
195,82_A,Understand inequality notation,Inequalities on Number Lines,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",\( x>9 \),\( x<9 \),Mixes up greater than and less than symbols,12
196,82_D,Understand inequality notation,Inequalities on Number Lines,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",\( x>9 \),\( x \geq 9 \),"When using inequality notation, thinks ""greater than/less than or equal to"" symbols are instead the ""greater than/less than"" symbols and vice versa",12
197,83_B,Round numbers greater than 1 to one significant figure,Rounding to Significant Figures,"Round this number to \( 1 \) significant figure:
\( 400099 \)",\( 400000 \),\( 500000 \),Rounds up instead of down,102
198,83_C,Round numbers greater than 1 to one significant figure,Rounding to Significant Figures,"Round this number to \( 1 \) significant figure:
\( 400099 \)",\( 400000 \),\( 400100 \),Rounded to nearest 100 instead of 1sf,102
199,84_A,Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),\( y=3 \),\( y=3 x \),Includes the x variable when giving the equation of a horizontal line,107
200,84_C,Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),\( y=3 \),\( x=3 \),Thinks x = ? is a horizontal line through ? ,107
201,84_D,Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),\( y=3 \),\( x=3 y \),"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",28
202,85_A,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",\( -5 \),\( 1 \),Thinks the first term of a sequence must be 1,80
203,85_B,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",\( -5 \),\( -7 \),"When finding the nth term of a linear sequence, thinks the the first term is the coefficient in front of n.",41
204,86_A,Add proper fractions with the same denominator,Adding and Subtracting Fractions,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",\( 1 \),\( \frac{11}{22} \),"When adding fractions, adds the numerators and denominators",55
205,86_B,Add proper fractions with the same denominator,Adding and Subtracting Fractions,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",\( 1 \),\( \frac{1}{2} \),"When adding fractions, adds the numerators and denominators",55
206,86_C,Add proper fractions with the same denominator,Adding and Subtracting Fractions,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",\( 1 \),\( \frac{11}{11} \),Forgot to simplify the fraction,91
207,87_C,"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",Quadratic Equations,"According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()",No real solutions,"\( x=-4.25, \quad x=0.25 \)",Solves for y=0 instead of given y-value when reading from a quadratic graph,104
208,87_D,"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",Quadratic Equations,"According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()",No real solutions,\( x=-1 \),Finds the y intercept when asked to read the solution to a quadratic equation from a graph,77
209,88_A,Calculate the volume of other prisms when the dimensions are given in the same units,Volume of Prisms,"![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",\( 15 \mathrm{~mm} \),\( 5 \mathrm{~mm} \),Thinks depth always goes front to back in a diagram of a 3D shape,82
210,89_A,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",\( -4 \),\( 1 \),Thinks the first term of a sequence must be 1,80
211,89_B,Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",\( -4 \),\( -5 \),"When finding the nth term of a linear sequence, thinks the the first term is the coefficient in front of n.",41
212,90_A,Find missing angles in a non-special quadrilateral,Angles in Polygons,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Not enough information to work it out,\( 120^{\circ} \),Assumes that opposite angles are equal in a quadrilateral,66
213,90_B,Find missing angles in a non-special quadrilateral,Angles in Polygons,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Not enough information to work it out,\( 50^{\circ} \),Does not know what dashes on the sides of shapes mean,48
214,90_C,Find missing angles in a non-special quadrilateral,Angles in Polygons,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Not enough information to work it out,\( 70^{\circ} \),Does not know what dashes on the sides of shapes mean,48
215,91_A,Rearrange a quadratic equation so that it is in the correct form to be factorised,Quadratic Equations,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Subtract \( 8 \) from both sides of the equation,Divide by \( x \),Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,104
216,91_B,Rearrange a quadratic equation so that it is in the correct form to be factorised,Quadratic Equations,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Subtract \( 8 \) from both sides of the equation,Square root both sides of the equation,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,104
217,91_C,Rearrange a quadratic equation so that it is in the correct form to be factorised,Quadratic Equations,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Subtract \( 8 \) from both sides of the equation,Subtract \( 7 x \) from both sides of the equation,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised,104
218,92_B,Reduce a ratio involving two numbers to its simplest form,Writing Ratios,"Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{4}: \frac{1}{2}
\)",\( 1: 2 \),\( 2: 4 \),Does not fully simplify ratio,25
219,93_B,"Given the sketch of a curve in the form (x + a)², work out its factorised form",Sketching from Factorised Form,"What is the equation of this curve? ![A quadratic curve with minimum point (1,0).]()",\( y=(x-1)^{2} \),\( y=(x+1)^{2} \),Forgets to swap the sign of roots when placing into brackets,22
220,93_C,"Given the sketch of a curve in the form (x + a)², work out its factorised form",Sketching from Factorised Form,"What is the equation of this curve? ![A quadratic curve with minimum point (1,0).]()",\( y=(x-1)^{2} \),\( y=x^{2}-1 \),"Believes the graph of x squared + c has the turning point of (-c, 0)",77
221,93_D,"Given the sketch of a curve in the form (x + a)², work out its factorised form",Sketching from Factorised Form,"What is the equation of this curve? ![A quadratic curve with minimum point (1,0).]()",\( y=(x-1)^{2} \),\( y=x^{2}+1 \),"Believes the graph of x squared + c has the turning point of (c, 0)",77
222,94_B,Recognise when a descending sequence is quadratic,Quadratic Sequences,"Tom and Katie are discussing quadratic sequences.

Tom says this is a quadratic sequence: \( 24,15,8,3,0 \ldots \)

Katie says this is a quadratic sequence: \( 124,63,26,7,3,0, \ldots \)

Who is correct?",Only Tom,Only Katie,Does not understand the term quadratic,104
223,94_C,Recognise when a descending sequence is quadratic,Quadratic Sequences,"Tom and Katie are discussing quadratic sequences.

Tom says this is a quadratic sequence: \( 24,15,8,3,0 \ldots \)

Katie says this is a quadratic sequence: \( 124,63,26,7,3,0, \ldots \)

Who is correct?",Only Tom,Both Tom and Katie,Does not understand the term quadratic,104
