,MisconceptionId,MisconceptionName,Cluster
623,623,Assumes the denominator is divided by the numerator,19
624,624,"In ratio question where one side of ratio is given, treats that as the total",81
625,625,Confuses corresponding and vertically opposite angles,7
626,626,Thinks the difference between a positive number and a negative number is equal to the positive number,99
627,627,Does not realise similar has a specific mathematical meaning,69
628,628,"When factorising, finds a factor that goes into only the first term of the expression",87
629,629,Thinks there are 1000mm in a centimetre,54
630,630,Does not know parallel lines have equal gradients ,28
631,631,"When calculating the mean from a list of data, adds up the numbers but does not divide",29
632,632,Confuses range and interquartile range,67
633,633,Does not understand how to subtract algebraic fractions,52
634,634,Does not know the term numerator,91
635,635,Believes you cannot find the angle size in a pie chart when given its percentage value,74
636,636,Mixes up constant and coefficient in a worded substitution problem,42
637,637,Does not recognise the corresponding sides in similar shapes or enlargements,69
638,638,Believes multiplication is not commutative,24
639,639,Believes unrelated acute/obtuse angles in a diagram are supplementary,70
640,640,Does not find the angle being asked,63
641,641,Does not add on the constant in a worded substitution problem,97
642,642,Thinks x = ? is a horizontal line through ? ,107
643,643,Think 1km = 1 mile,54
644,644,May have estimated when using ratios with geometry,25
645,645,Believes enlargement by scale factor -1 exchanges the x and y coordinates,71
646,646,Confuses scalene and right angle triangles,4
647,647,Thinks co-interior angles sum to 90 degrees,70
648,648,Finds volume when asked for surface area,62
649,649,"Beileves you can use the full length when finding an area of part of a composite shape, when part of the length is needed",76
650,650,Believes mean is total divided by number of groups,29
651,651,Forgets you need a protractor to measure angles,63
652,652,Mixes up the numerator and denominator when writing a division as a fraction,27
653,653,Does not have when calculating the area of a triangle,30
654,654,Believes an interior angle in a regular polygon can be found using 180(n+2)/n,44
655,655,Assumes that a list is given in size order,57
656,656,Reverses the order of operations but does not apply the inverse operations when finding the input of a function machine,100
657,657,Has completed only one of the two operations.,64
658,658,Thinks they double the numerator to turn a fraction into a percentage,101
659,659,Does not know how to write a fraction - just given an integer answer,91
660,660,Thinks that the perimeter on a square grid is the number of squares inside that are touching the perimeter of the shape,48
661,661,Confuses an expression with a term,42
662,662,Believes that a number divided by itself equals the original number,27
663,663,Forgotten placeholders when rounding to significant figures,102
664,664,"Believes -a is always smaller than a, ignoring the possibility that a is negative",99
665,665,Believes that the gradient of a horizontal line is undefined,28
666,666,Thinks grams and tonnes are the same,3
667,667,Only considers elements in one set when asked to find the intersection of multiple sets,86
668,668,Writes four symbols after rather than one before in Roman numerals,73
669,669,Has used slant height and base to find area of a parallelogram rather than perpendicular height and base,108
670,670,Counts the starting number when counting on,5
671,671,"When reading decimals on a number line, assumes each dash is 0.1",72
672,672,When asked for a specific term in a sequence gives the next term,103
673,673,Finds total instead of difference when asked 'How many more',89
674,674,Thinks the inverse of addition is division,100
675,675,"When interpolating using a line of best fit, reads off the value for the closest point to the line rather than the value given by the line of best fit ",72
676,676,Does not recognise that an equation will stay balanced if all terms are multiplied/divided by the same amount,52
677,677,"When asked to subtract a fraction from a unit, removes the unit value from the numerator.",11
678,678,Believes you cannot find the mode from a pie chart,111
679,679,Gives a fraction when asked for a decimal,36
680,680,Does not know the term transversal,63
681,681,"When drawing a cumulative frequency diagram, thinks you plot cumulative frequency on the horizontal axis",94
682,682,Thinks millimetres and centimetres are the same,54
683,683,"When factorising, believes they can choose different factors for each term",87
684,684,Does not find a common denominator when comparing fractions,57
685,685,Does not adjust the hour for “to” times,43
686,686,Does not know units of area should be squared,21
687,687,Confused mixed numbers with improper fractions,23
688,688,Confuses the factorised form of repeated roots and the difference of 2 squares,47
689,689,"When multiplying algebraic terms written in the same base, adds the base variables and multiplies the powers.",79
690,690,Struggles to visualise nets of 3D shapes,10
691,691,To find the range adds the biggest and smallest number rather than subtract,67
692,692,Only uses two terms of a sequence to work out a term-to-term rule,80
693,693,Does not divide to get a unitary amount before scaling up,38
694,694,Confuses cubic and quadratic graphs,104
695,695,Has found the area of a triangle rather than an area of a parallelogram,30
696,696,"In the middle of the total column or row of a two way table, adds the other totals (including overall total), rather than finding the difference",89
697,697,Arithmetic error when multiplying by 7,95
698,698,Believes each number on a clock face represents 1 minute,43
699,699,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit",35
700,700,"When calculating missing side length from perimeter, gives the total missing length instead of dividing for one side.",48
701,701,Does not know the meaning of vertically opposite,7
702,702,When changing a number to standard form omits zero's of significance ,93
703,703,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd",50
704,704,Thinks there are 10cm in a metre,54
705,705,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards",16
706,706,Carries out operations from right to left regardless of priority order,109
707,707,Believes that fractions with the same denominator are equal,91
708,708,Believes switching the x and y variables in a linear equation gives a perpendicular line,15
709,709,Adds instead of subtracts when using an area model for multiplication,108
710,710,Confuses factors and multiples,33
711,711,Believes you write the carried value in the number rather than adding it to the next place value column,32
712,712,Believes you can not take away a larger number from a smaller one,35
713,713,"When asked for a specific term in a sequence gives a different term, which is not the next",103
714,714,Uses the other part instead of total frequency as denominator for relative frequency,8
715,715,Removes the common denominator when making equivalent algebraic fractions,91
716,716,Rounds a decimal instead of using a fraction in division,36
717,717,Believes the amount given is for the whole rather than a part,38
718,718,Uses sin when tan is required,46
719,719,Does not recognise feet (ft) as a unit of length,21
720,720,Believes that 'less than' includes the number ,12
721,721,Does not know what the symbol for equal lengths means,48
722,722,Thinks the fraction button finds the reciprocal,19
723,723,Forgets you need a ruler to measure lengths,48
724,724,Thinks the denominator in a combined probablity will be the same as the denominator in the probability of the first event.,84
725,725,Does not know that angles on a straight line sum to 180 degrees,63
726,726,Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change,20
727,727,Gets their constants and coefficients the wrong way around when writing a formula from a given situation,97
728,728,Confuses least and most,111
729,729,"Thinks the sum of 2 numbers, each squared first, is the same as adding the two numbers and then squaring the total",113
730,730,Ends up £1 out when dealing with change in money,35
731,731,Believes that the third vertex of a triangle will share coordinates with both of the other vertices,49
732,732,Finds the mean instead of the median,105
733,733,"When dividing an integer by a fraction, thinks they can just multiply instead.",61
734,734,Confuses square rooting and halving the number,47
735,735,"In ratio where total is given, treats that as one part without dividing",81
736,736,"When subtracting past zero, adds the absolute values and then writes the answer with a negative sign",78
737,737,Thinks there are 30 minutes in a hour,43
738,738,Believes there are 100cl in a millilitre,31
739,739,Rounds to wrong degree of accuracy (decimal places rather than significant figures),102
740,740,"Does not recognise that for a shape to be reflected it will be ""flipped""",107
741,741,Includes too many possibilites when given an 'at least' question in probability,14
742,742,Believes solving an inequality gives a single value as a solution,12
743,743,"When calculating the area of a rectilinear compound shape, calculates the are of the surrounding rectangle",76
744,744,"When dividing a fraction by an integer, thinks they can just multiply instead",61
745,745,Confuses midpoint and distance between two points,89
746,746,Finds surface area when asked for volume,62
747,747,Believes scales on graphs must match on both axes,71
748,748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives",99
749,749,"When asked to subtract a fraction from a unit, removes the unit value from the denominator",11
750,750,"When using the capture-recapture method, confuses the order of the calculation to find best estimate of population",60
751,751,Believes you add the terms together when multiplying like terms.,79
752,752,Thinks that when dividing numbers in standard form you subtract the number and divide the power,93
753,753,Believes when you plot a linear sequence it doesn't give a straight line,37
754,754,Does not recognise that an integer multiplied by a surd can be simplified,50
755,755,Does not know which letters can be subtracted in Roman Numerals,73
756,756,Believes unit fractions with a difference of 1 in the denominator have no other fractions between them,91
757,757,Adds rather than multiplies when asked for a product,2
758,758,Believes an outlier is a value that does not fit the same characteristics as the other values,67
759,759,Confuses a formula with an expression,42
760,760,Converts a fraction to a decimal by using the denominator after the decimal point,19
761,761,Subtracts instead of adds when finding a midpoint,89
762,762,Chooses an example when asked for a counter-example,5
763,763,Believes 'inclusive' does not include the end value,12
764,764,Confuses octagon and pentagon,5
765,765,Thinks there are 10kg in a tonne,3
766,766,Confuses the graphs of  direct and inverse proportion,65
767,767,Thinks there are 10 minutes in an hour,43
768,768,Finds the circumference of the whole circle instead of arc length ,58
769,769,Confuses the direction of vectors when adding or subtracting,0
770,770,Believes class width represents area of the bar in a histogram,75
771,771,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b,12
772,772,Rotates instead of reflects,107
773,773,Does not understand to find each interior angle of a regular polygon you divide the sum by the number of sides,44
774,774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer",23
775,775,"When adding variables with powers, thinks they can add the powers",18
776,776,Does not know how to compare size of angles on a grid without a protractor,98
777,777,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around",25
778,778,Struggles to visualise the new position of an object after transformations,83
779,779,"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit",106
780,780,Believes the constant only gives the y-intercept for linear graphs,77
781,781,"When reading decimals on a number line, assumes each dash is 0.2",72
782,782,Mixes up quantitative and qualitative data types,17
783,783,Thinks the sign of solutions in a quadratic equation is always the same as the constant term,22
784,784,Thinks there are 100g in a kilogram,3
785,785,Confuses co-interior and alternate angles,7
786,786,"Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer.",106
787,787,Does not scale up a ratio to find an equivalent value,25
788,788,Believes all linear graphs show direct proportion,65
789,789,Does not understand the naming structure of polygons,10
790,790,Thinks the shape of the graph does not affect the area calculation,45
791,791,"In a worded problem, does not complete all calculations",97
792,792,Expands when asked to simplify,1
793,793,Forgets to subtract sum of angles we know from 180 to find missing angle in a triangle,49
794,794,Rounds up rather than to one significant figure,102
795,795,Ignores the negative signs when adding positive and negative numbers,99
796,796,Draws both angles at the same end of the line when constructing a triangle,49
797,797,Reflects horizontally or vertically instead of across a diagonal line of symmetry,107
798,798,Believes all numbers in a prime factor tree are included in the list of prime factors,33
799,799,Only considers elements in one set when asked to find the union of multiple sets,86
800,800,Thinks you just add a % sign to the numerator to make a fraction into a percentage,101
801,801,Forgets to give the centre of rotation,83
802,802,"Thinks that when drawing the elevation, the top layer does not need to be included ",82
803,803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) ,72
804,804,Believes percentages cannot be converted into fractions,11
805,805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line,83
806,806,Thinks the number in the ratio is the total,81
807,807,Believes all quadratic equations have a solution of 0,22
808,808,Thinks they double rather than halve when finding the area of a triangle,30
809,809,Uses cos when tan is required,46
810,810,Believes the number outside the circles in a Venn represents the intersection,86
811,811,Believes they can multiply/divide through by a negative number without changing the direction of the inequality,12
812,812,When dividing numbers with the same base correctly subtracts the powers but divides the base numbers.,18
813,813,Believes parallel is the term used to describe two lines at right angles,15
814,814,Confuses circumference and radius,58
815,815,Counts in the wrong direction on a number line,0
816,816,Only counts visible faces,10
817,817,Believes adding numbers together gives the highest common factor,56
818,818,Believes the median is the category with the median frequency,105
819,819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis",94
820,820,Does not know that you can leave a fraction in improper form,91
821,821,Mistakes rotations for translations,83
822,822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down",102
823,823,Assumes they multiply by the numerator of fractional index,19
824,824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number",102
825,825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole ",23
826,826,Confuses intersection and universal set,86
827,827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor,111
828,828,Adds when calculating area instead of multiplying,108
829,829,Estimates angle rather than calculating,63
830,830,Gives an example of a factor instead of counting how many total factors a number has,33
831,831,Thinks subtraction calculates how many in ,35
832,832,Believes that a fraction with equal numerator and denominator cancels to 0,91
833,833,"When calculating perimeter, multiplies instead of adds",2
834,834,"When asked for the next term in the sequence adds one to the last term given, despite the sequence not going up in ones.",80
835,835,Confuses a formula with an equation,42
836,836,Believes the mean is the middle number,29
837,837,Believes that rounding parts of a fraction in different directions means the answer will be the same. ,102
838,838,"When factorising a quadratic without a non variable term, tries to double bracket factorise",87
839,839,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. ",61
840,840,Does not understand the place value of answers from a Napier's bones calculation,85
841,841,Does not subtract 2 from the number of sides when finding the sum of interior angles,44
842,842,Confuses the calculations for HCF and LCM,56
843,843,Does not see fraction diagrams as equivalent if the shading is in a different pattern,91
844,844,Thinks there are 100mm in a metre,54
845,845,Believes they can find the nth term based on the first term only,41
846,846,Thinks there are 1000ml in a centilitre,31
847,847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.,11
848,848,Believes when simplifying a fraction you can divide the numerator and denominator by different values,91
849,849,Thinks the nth term is when the value of the term is n,41
850,850,Thinks there are 10mm in a metre,54
851,851,Thinks a negative x value in a column vector means to move right rather than left ,0
852,852,Thinks there are 100 mg in a gram,3
853,853,Does not know how to check tessellation,10
854,854,Divided by 100 rather than multiplied by 100,20
855,855,Believes integers can have decimal places,36
856,856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded.",11
857,857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer",19
858,858,Believes splitting a multiplication using the distributive property is the same as splitting it into factors,33
859,859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting,87
860,860,Mixes up clockwise and anticlockwise,0
861,861,Reads a power as a normal digit,18
862,862,Does not understand equivalent ratios,25
863,863,Believes inequalities can only include integers,12
864,864,Reads 0 on protractor as size of angle when angle is not in usual orientation,98
865,865,Does not recognise a unit of mass,21
866,866,Believes that the y intercept is where y = 0,77
867,867,When finding the area of a parallelogram does not understand which lengths to use,108
868,868,Believes a number raised to a power will always give a positive answer,99
869,869,Believes multiplying together prime factors that are not shared gives the highest common factor,56
870,870,Only counts visible vertices,10
871,871,Does not include brackets when attempting to multiply an expression,64
872,872,Thinks angles can only be measured when one line is horizontal,63
873,873,Believes that we cannot calculate the mean of negative numbers,29
874,874,Mistakes the place value column of hundred thousands with millions,85
875,875,Believes vertically opposite angles sum to 360 degrees,70
876,876,Believes squaring a negative number just changes the sign,99
877,877,Does not convert measurements to have the same units before calculating area or volume,108
878,878,"Counts on by 1, when asked to count forward/backwards in a step other than 1",80
879,879,Thinks you apply one inverse operation to one term and the other inverse operation to the other term,100
880,880,Thinks a higher average means more consistent data,67
881,881,adds all given dimensions when calculating area,108
882,882,Believes 0 has no square root,47
883,883,"Believes mirror line must lie on a grid line, not in between grid lines",107
884,884,"When asked for more, find the total",38
885,885,Thinks they can simplify algebraic fractions by cancelling unlike variables,87
886,886,Believes that prime numbers cannot be even,5
887,887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint",8
888,888,Does not understand the relationship between a ratio and fraction,25
889,889,"Believes when you plot a sequence, the line always passes through (0, 0)",39
890,890,Thinks they had to give the new amount rather than the total percentage that the original has been increased by.,101
891,891,Incorrectly cancels what they believe is a factor in algebraic fractions,87
892,892,Believes each vertical line on a box plot represents 1 piece of data,17
893,893,"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator",90
894,894,Believes expanding a squared expression means writing it as a set of double brackets,1
895,895,Believes a line of reflection must be touching the original shape,107
896,896,"When adding fractions with identical numerators, leaves the numerator and adds the denominators",55
897,897,Does not recognise an example of the alternate segment theorem,63
898,898,Thinks x = 0 is the x axis,39
899,899,Does not recognise parallel lines angle rules,63
900,900,Believes the constant gives the y-intercept even when a line is not written in the form y = mx + c,77
901,901,Finds unit price but doesn't multiply up for number in question,38
902,902,Thinks 1 squared is 2,6
903,903,"Has increased by the value of the first value, rather than the difference",89
904,904,Has taken the percentage from the original ,101
905,905,"Thinks the movement of the top number in a column vector is vertical, and the bottom number is horizontal rather than the other way round",0
906,906,Does not know that sample size affects reliability,14
907,907,Does not find a common denominator when adding/subtracting fractions,55
908,908,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted",50
909,909,Mixes up squaring with dividing by 2,113
910,910,Cannot identify the correct side lengths to use when asked to find the area of a face,108
911,911,Only multiplies the numerical terms when expanding a bracket,64
912,912,Thinks adding the same value to each side makes shapes similar,69
913,913,Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram,84
914,914,Finds 10% of an amount rather than the percentage being asked,101
915,915,Does not recognise metres as a unit of length,21
916,916,Thinks the fraction bar means multiply rather than divide,61
917,917,Believes every direct or inverse proportion question uses the formula p=kq,65
918,918,Confuses x and y axes,71
919,919,Believes the gradient of a speed-time graph is the distance,45
920,920,Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval,51
921,921,Reads the wrong scale on the protractor when measuring acute angles,98
922,922,Believes we can only take the square root of a perfect square,47
923,923,Thinks index notation represents repeated addition rather than repeated multiplication,18
924,924,Believes to find the proportion of a pie chart sector you do frequency/sum of other frequencies rather than frequency/overall total,74
925,925,Believes the gradients of perpendicular lines are reciprocals of the same sign,15
926,926,Believes the number of sides gives the order of rotational symmetry,83
927,927,Assumes that opposite angles in a quadrilateral sum to 180 degrees,70
928,928,Divides when converting to a larger unit,19
929,929,"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size",60
930,930,When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,53
931,931,Does not understand where to place inputs/ operations/ outputs when drawing a function machine,64
932,932,Adds instead of multiplies when calculating total frequency,8
933,933,Does not know the meaning of corresponding,7
934,934,Thinks the subtraction sign means divide,112
935,935,Fails to use the properties of simple shapes to work out missing lengths,48
936,936,Thinks the first term in a sequence is the term before the sequence begins (0th term),103
937,937,"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round",50
938,938,"Thinks 1 square metre = 100,000 cubic centimetres",31
939,939,Describes position to term rule using term to term rule,80
940,940,When writing a function as a function machine confuses the input and the output.,42
941,941,Does not recognise that subtracting a larger number from a smaller number will give a negative answer,35
942,942,Thinks you need to include the total as well as the individual parts when asked to write a ratio,81
943,943,Divides by (n-2) rather than n when finding an interior angle,44
944,944,"When dividing involving a power of 10, gives an answer 10 times bigger than it should be",90
945,945,Does not think a number can be a multiple of itself,5
946,946,Believes a proportion of a whole is whole/part not part/whole,19
947,947,Makes the number negative when asked to find the reciprocal,59
948,948,Believes squaring is the same as adding two,113
949,949,Confuses midpoint and gradient between two points,28
950,950,Thinks there are 5 days in a week,43
951,951,Only recognises the positive form of a quadratic graph,104
952,952,Adds the index to the number,18
953,953,Believes you cannot find the modal category from a pie chart unless given the total frequency,74
954,954,"Confuses adding 3 with cubing, in algebra",68
955,955,"When multiplying, treats digits in other columns as if they are units",85
956,956,Thinks that fractions involving a fraction as the denominator can just be read as mixed numbers,23
957,957,Believes the mean must be an integer,29
958,958,Misunderstands how to calculate the upper bound in subtraction,35
959,959,Believes it is impossible to subtract a bigger number from a smaller number,35
960,960,Divides by the index,18
961,961,Does not spot the difference between a gradual change of gradient and 2 distinct line segments with different constant gradients,28
962,962,Thinks 1 cubic metre = 1000 cubic centimetres,31
963,963,Thinks there are 50 minutes in 1 hour,43
964,964,"When dividing involving a power of 10, gives an answer 10 times smaller than it should be",90
965,965,Adds the numerators when working out a combined probability,84
966,966,Gives an answer of 0 when there are no solutions to an equation.,77
967,967,"When solving simultaneous equations graphically, only gives one of two solutions",53
968,968,Confuses powers and multiples,18
969,969,Believes you can subtract from inside brackets without expanding when solving an equation,64
970,970,"In inverse proportion, believes k is the total of the two variables ",65
971,971,Believes that adding a negative will increase the value of the original number,99
972,972,Does not realise that if the horizontal and vertical measurements of a diagonal line segment switch it remains the same size,71
973,973,Finds area of whole circle rather than area of sector,76
974,974,Believes multiplying a positive by a negative gives a positive answer,99
975,975,"When solving an equation, multiplies instead of dividing ",27
976,976,"Thinks a Fibonacci sequence must start with 1, 1",80
977,977,Confuses the sign for parallel lines as being dashes,16
978,978,"When completing the square, believes the constant in the bracket is the coefficient of x",40
979,979,Thinks can combine the numerator and denominator after simplifying an algebraic fraction,87
980,980,Hasn't lined up the place value columns when writing out the calculation,35
981,981,Believes inequalities cannot be combined,12
982,982,Calculates perimeter when asked for area,108
983,983,"When the dividend is a mixed number and the divisor is an integer, thinks they only divide the fraction by the integer.",27
984,984,Writes the numerator of an improper fraction as the number of wholes when converting to a mixed number,23
985,985,Believes that repeated percentage change is equivalent to a single change by the sum of the percentages,101
986,986,Does not understand that a remainder can be written as a fraction,36
987,987,Believes that the order of a worded calculation should be changed to follow BIDMAS ,97
988,988,"When converting a percentage to a decimal, just writes all the digits after a decimal point.",20
989,989,Does not understand that area under a speed time graph gives distance because distance = speed x time,45
990,990,Does not realise you can use equivalent fractions to break fractions up into smaller divisions,91
991,991,Believes that when finding area under graph you can use the upper y value rather than average of upper and lower,108
992,992,"Thinks they find the length of a line between 2 points by adding coordinates, rather than subtracting",89
993,993,Believes the length of the arms influence the size of the angle,63
994,994,"When completing the square in the form (x - a)^2 + b, believes b = a^2 + the original constant",40
995,995,Believes the lowest common multiple is found my multiplying the numbers together,56
996,996,Does not know that units of volume are usually cubed,62
997,997,Subtracts instead of multiplies,95
998,998,"When the final stage of solving a problem is ""variable to a power"" = constant, assume the constant is the answer, without finding the root.",18
999,999,Confuses the method of selection with the group selected in statistics,14
1000,1000,Draws false conclusion from a pie chart,74
1001,1001,Does not know how to divide a fraction by an integer,61
1002,1002,Thinks the elevation is the plan view of a shape,82
1003,1003,"Believes the equation of a vertical line is in the form y = ax, where a is the x intercept",28
1004,1004,Thinks that a number in front of a bracket means divide,64
1005,1005,"Carries out operations from left to right regardless of priority order, unless brackets are used",109
1006,1006,Believes the mean is something divided by the number of categories given,29
1007,1007,Does not connect rotational symmetry to number of sides/vertices,83
1008,1008,"When dividing an integer by a fraction, thinks they multiply numerator and denominator by the integer",61
1009,1009,Does not know the meaning of bisect,63
1010,1010,Believes the largest number in a set of numbers is always their highest common factor,56
1011,1011,Does not know the distributive property,24
1012,1012,Squares when asked to find the square root,47
1013,1013,Answers as if there are 100 minutes in an hour,43
1014,1014,Believes the frequency of the midpoint of a group is half the total frequency of the group,8
1015,1015,"When answering questions regarding adding items to get a new ratio, looks at the difference between the numbers in the original and new ratio rather than finding the size of a part",81
1016,1016,Confuses the hundreds and hundred thousands place value columns,85
1017,1017,Does not understand how to solve linear two step equations,52
1018,1018,Thinks the fraction 1/n can express sharing n items between any number of people,11
1019,1019,Believes class width = frequency density,75
1020,1020,Believes it's not possible to solve simultaneous equations graphically,52
1021,1021,Believes an outlier is not determined by distance from the mean,67
1022,1022,Believes you multiply matching bases when carrying out a multiplication,79
1023,1023,Believes that the complement of a set in a triple Venn consists of the elements that only belong to one other set,86
1024,1024,When solving an equation thinks they add when in fact they need to multiply,95
1025,1025,Forgets to include the intersection value when asked for total value of a set in a Venn diagram,86
1026,1026,Does not reverse the order of operations when finding the input of a function machine,100
1027,1027,Believes the median is the frequency for the middle category in a table,105
1028,1028,Multiplies up without finding unit price in proportion question,38
1029,1029,Does not understand that a line graph shows a relationship between 2 variables,17
1030,1030,When dividing numbers with the same base divides the base numbers and the powers,18
1031,1031,Believes raising a negative number to an odd power will give a positive answer,99
1032,1032,Confuses cube rooting with squaring a number,68
1033,1033,Does not know that you can have a decimal percentage,20
1034,1034,believes the complement of a set consists of elements which only belong to one set,86
1035,1035,"When multiplying a decimal less than 1 by an integer, gives an answer 10 times smaller than it should be",106
1036,1036,"Only gives 1 value of x for a given value of y, when reading from a parabolic graph",104
1037,1037,Believes time = speed x distance,45
1038,1038,Thinks reciprocal button raises to a power,37
1039,1039,Believes finding a percentage of an amount involves adding the percentage to 10% of the amount,101
1040,1040,Does not measure bearing clockwise from the north line,0
1041,1041,Does not know a rhombus is a type of parallelogram ,10
1042,1042,"When dividing a number written in standard form by an integer, thinks you divide the power on the ten rather than the number component.",93
1043,1043,Mixes up cubes and cuboids,62
1044,1044,Misremembers the quadratic formula,104
1045,1045,"Believes reading from a cumulative frequency diagram will give the frequency above a certain value, rather than below",94
1046,1046,Does not understand remainders in division,27
1047,1047,Estimates a measurement on a diagram rather than working it out,72
1048,1048,"When adding/subtracting fractions, adds/subtracts the denominators and multiplies the numerators",55
1049,1049,Misunderstands the process of making a variable the subject of an equation,52
1050,1050,Thinks there are 10g in a kilogram,3
1051,1051,"When multiplying by a multiple of 10, gives an answer 10 times bigger than it should be",90
1052,1052,Uses length scale factor for volume without cubing,62
1053,1053,"Believes that when converting ratio to fractions, the denominator is the product of the parts of the ratio",25
1054,1054,Performs subtraction in wrong order,109
1055,1055,Does not notice all changes in a sequence of visual patterns,80
1056,1056,Chooses an incorrect point in between the shapes when describing a 90 or 270 degree rotation,83
1057,1057,Finds the unit fraction when asked to find a non-unit fraction of an amount,11
1058,1058,"Believes that in the nth term of a descending sequence, b is the difference between the term and the positive multiple of n",41
1059,1059,Does not know the definition of the range,67
1060,1060,Thinks positive values in a column vector denote movement left and down (and vice-versa for negative values).,0
1061,1061,When asked to rotate by 90 degrees rotates by 180 degrees,83
1062,1062,"When using the capture-recapture method of sampling, believes you divide the number caught second by the number marked second to find the best estimate of population size",60
1063,1063,Adds rather than multiplies when asked for a total,2
1064,1064,Confuses the union and intersection of inequalities,12
1065,1065,Does not recognise a unit of area in word form,21
1066,1066,Does not think that the compensation strategy for the multiplication of 2 numbers is valid.,24
1067,1067,Confuses measures of turn (ie. degrees) and measures of length,21
1068,1068,Believes the fx column for calculating mean is value + frequency,8
1069,1069,Assumes an angle is the size that it looks in the (not to scale) diagram,63
1070,1070,Believes that dividing by 10 gives 1%,20
1071,1071,Confuses obtuse and acute angles,98
1072,1072,Multiplies by the index,18
1073,1073,Believes if you add the same value to all numbers in the dataset the range will change,67
1074,1074,Multiplies rather than divides,27
1075,1075,When asked to add fractions uses the method for multiplying fractions instead.,55
1076,1076,Cancels digits when dividing,85
1077,1077,Believes all multiples of odd numbers are odd,5
1078,1078,"Ignores numbers written as words in worded questions, and just calculates using those written in digits",97
1079,1079,Believes factors add to give a number,33
1080,1080,Believes there are 20 minutes in an hour,43
1081,1081,"When subtracting fractions, divides the numerators",19
1082,1082,"When multiplying with negative numbers, assumes any negative sign can be ignored",99
1083,1083,Does not know the meaning of uniform cross section,10
1084,1084,Has removed brackets but not performed the operation,64
1085,1085,Multiplied the powers rather than added them,18
1086,1086,Thinks the perimeter of a sector is the same as arc length ,58
1087,1087,Thinks the interior angles of a polygon add up to 100n,44
1088,1088,Believes you add the denominators when finding a fraction of another fraction,55
1089,1089,Cannot identify mutually exclusive events,24
1090,1090,Doesn't recognise commutativity of addition with negative numbers,24
1091,1091,Confuses a variable with a formula,42
1092,1092,Cannot spot a coefficient within a written scenario,97
1093,1093,Has multiplied the value of the first term by the the term being asked,41
1094,1094,Believes when frequencies multiply by a scale factor in a table the mean also multiplies by that scale factor,8
1095,1095,Believes that vectors of different magnitudes can be equal.,69
1096,1096,Thinks there are 10cl in a millilitre,31
1097,1097,Is not able to identify a situation where Pythagoras' Theorem is needed,4
1098,1098,Finds the mean instead of the range,67
1099,1099,Believes gradient at a point = y coordinate/x coordinate,28
1100,1100,Believes direct proportion means a 1:1 ratio,65
1101,1101,Believes stratified samples should be evenly split,14
1102,1102,Believes that addition should be used when finding the difference between two values on a time series graph,89
1103,1103,"When reading integers on a number line, assumes each dash is 2",72
1104,1104,Simplifies integers when simplifying a mixed number,23
1105,1105,Rounds every number to the same degree instead of rounding to significant figures when estimating ,26
1106,1106,Divides 360 degrees by sum of sides rather than given amount of angles,44
1107,1107,Converted hours to minutes instead of hours to seconds,43
1108,1108,"Believes  c, in y=mx+c, will be the y value of the coordinate given despite the x coordinate not being 0.",77
1109,1109,"On a cumulative frequency diagram, believes the total frequency is the top of the frequency axis rather than the top of the curve",94
1110,1110,Does not think that -n + n = 0,52
